EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,
Ticker,Short Name,Market Cap,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M
OBER IN Equity,OBEROI REALTY,602743428274.90,602743428274.90,1657.70,27.08,-27.95,52862745000.00
PATANJAL IN Equity,PATANJALI FOODS,599175797346.00,599175797346.00,550.80,45.98,-6.89,341569673000.00
CLGT IN Equity,COLGATE PALMOLIV,588685706229.60,588685706229.60,2164.40,40.97,-17.50,60401700000.00
MAXF IN Equity,MAX FINANCIAL SE,583312985944.20,583312985944.20,1690.20,175.88,51.74,464689149000.00
JSWINFRA IN Equity,JSW INFRASTRUCTU,565425421914.75,565425421914.75,269.25,37.62,-15.11,44761400000.00
MPHL IN Equity,MPHASIS LTD,562717919670.40,562717919670.40,2953.60,32.87,5.80,142299870000.00
GNP IN Equity,GLENMARK PHARMA,555427632273.80,555427632273.80,1968.20,53.04,22.62,131458360000.00
BDL IN Equity,BHARAT DYNAMICS,554425781250.00,554425781250.00,1512.50,100.90,35.24,33230729000.00
LAURUS IN Equity,LAURUS LABS LTD,553914328863.90,553914328863.90,1026.10,154.30,70.62,55078600000.00
UTISENX IN Equity,UTI BSE SENS ETF,548988029582.57,548988029582.57,944.77,,11.02,
FCT IN Equity,FERT & CHEM TRAV,548069961978.00,548069961978.00,847.00,1323.44,-13.62,40509099000.00
SAIL IN Equity,STEEL AUTHORITY,547402414091.16,547402414091.16,132.54,23.09,18.61,1017402600000.00
KRT IN Equity,KNOWLEDGE REALTY,547027527377.76,547027527377.76,123.36,,,39301010000.00
IRCTC IN Equity,INDIAN RAILWAY C,540160000000.00,540160000000.00,675.20,41.07,-13.10,46742742000.00
SUF IN Equity,SUNDARAM FINANCE,538664844438.00,538664844438.00,4848.30,28.66,17.85,84332700000.00
MOFS IN Equity,MOTILAL OSWAL,531751803896.10,531751803896.10,885.10,21.16,-6.47,83390500000.00
MCX IN Equity,MCX INDIA LTD,527476130567.00,527476130567.00,10343.00,94.18,66.56,9675800000.00
BIOS IN Equity,BIOCON LTD,524958771282.75,524958771282.75,392.65,97.92,7.61,164758000000.00
TCOM IN Equity,TATA COMMUNICATI,523801500000.00,523801500000.00,1837.90,32.23,9.53,231085900000.00
NAM IN Equity,NIPPON LIFE INDI,518512169318.00,518512169318.00,814.00,40.02,14.56,25207200000.00
TIINDIA IN Equity,TUBE INVESTMENTS,516030050295.00,516030050295.00,2666.70,76.56,-25.34,194646500000.00
PI IN Equity,PI INDUSTRIES,515249900539.80,515249900539.80,3396.10,31.09,-7.45,79034000000.00
MMFS IN Equity,M&M FIN SERVICES,510883899858.00,510883899858.00,367.55,20.62,46.06,185304600000.00
KALYANKJ IN Equity,KALYAN JEWELLERS,508532151067.50,508532151067.50,492.50,71.07,-35.53,250450660000.00
LIIL IN Equity,LINDE INDIA LTD,504029757930.00,504029757930.00,5910.00,110.82,-1.25,24852220000.00
NACL IN Equity,NATIONAL ALUMIN,501675972619.05,501675972619.05,273.15,9.52,35.46,166622100000.00
APAT IN Equity,APL APOLLO TUBES,491693402046.00,491693402046.00,1771.00,64.92,13.32,199962900000.00
LTTS IN Equity,L&T TECHNOLOGY S,481858923995.20,481858923995.20,4546.40,37.67,-2.77,114809000000.00
ALTIUSIN IN Equity,ALTIUS TELECOM I,469299600000.00,469299600000.00,154.00,51.16,13.39,194540000000.00
360ONE IN Equity,360 ONE WAM LTD,464479696697.60,464479696697.60,1146.70,42.25,-7.59,32950900000.00
HEXT IN Equity,HEXAWARE,461164319962.00,461164319962.00,754.75,38.96,,119744000000.00
BIL IN Equity,BALKRISHNA INDS,460674863770.00,460674863770.00,2383.00,27.84,-17.61,104469500000.00
HUDCO IN Equity,HOUSING & URBAN,450867918000.00,450867918000.00,225.22,16.65,-1.14,103112900000.00
AIIL IN Equity,AUTHUM INVESTMEN,448611862630.00,448611862630.00,2641.30,10.57,55.07,45783300000.00
UBBL IN Equity,UNITED BREWERIES,445073187311.70,445073187311.70,1683.30,100.74,-16.94,89150900000.00
VOLT IN Equity,VOLTAS LTD,439084049980.00,439084049980.00,1327.00,52.18,-25.46,153204500000.00
BOMH IN Equity,BANK OF MAHARASH,438264801051.00,438264801051.00,56.98,7.09,12.57,306774600000.00
JKCE IN Equity,JK CEMENTS LTD,434633911875.00,434633911875.00,5625.00,50.48,22.70,114934100000.00
COCHIN IN Equity,COCHIN SHIPYARD,432504802320.00,432504802320.00,1644.00,52.27,7.52,48199588000.00
GLXO IN Equity,GLAXOSMITHKLINE,431240000150.40,431240000150.40,2545.60,46.49,14.48,37492104000.00
ITCHOTEL IN Equity,ITC HOTELS LTD,428859264175.48,428859264175.48,205.91,67.51,,35258600000.00
RDCK IN Equity,RADICO KHAITAN L,428713562429.10,428713562429.10,3201.90,123.91,23.05,48511544000.00
SI IN Equity,SUPREME INDS LTD,428220281457.00,428220281457.00,3371.10,44.57,-27.70,104462500000.00
GP IN Equity,GODFREY PHILLIPS,426188962848.00,426188962848.00,2732.30,36.98,58.58,67674863000.00
EMBASSY IN Equity,EMBASSY OFFICE P,418172803661.88,418172803661.88,441.16,137.86,26.89,42916580000.00
PAG IN Equity,PAGE INDUSTRIES,417768350670.00,417768350670.00,37455.00,57.30,-20.02,49349090000.00
ESCORTS IN Equity,ESCORTS KUBOTA L,415167157318.60,415167157318.60,3710.90,36.30,12.34,100790500000.00
PLNG IN Equity,PETRONET LNG LTD,412200024182.40,412200024182.40,274.80,10.38,-17.78,506802400000.00
CPSEBE IN Equity,CPSE ETF,410955551760.00,410955551760.00,90.96,,6.65,
PG IN Equity,PROCTER & GAMBLE,408583284032.00,408583284032.00,12587.00,60.53,-13.35,41915700000.00
PREMIERE IN Equity,PREMIER ENERGIES,407785530073.60,407785530073.60,900.20,43.30,-33.39,65187450000.00
KEII IN Equity,KEI INDUS LTD,398033077282.50,398033077282.50,4163.50,55.03,-6.06,97358770000.00
ASTRA IN Equity,ASTRAL LTD,392094912898.50,392094912898.50,1459.50,74.85,-11.43,58324000000.00
NARH IN Equity,NARAYANA HRUDAYA,391739225187.60,391739225187.60,1916.90,46.44,50.95,59931770000.00
JUBI IN Equity,JUBILANT FOODWOR,391420172640.00,391420172640.00,593.20,133.33,-17.25,88549580000.00
CCRI IN Equity,CONTAINER CORP,389224845681.75,389224845681.75,511.05,30.20,-17.60,88870200000.00
PWL IN Equity,PHYSICSWALLAH LT,388632210750.00,388632210750.00,135.90,,,29974247500.00
3M IN Equity,3M INDIA LTD,384420513750.00,384420513750.00,34125.00,80.75,14.20,44428602000.00
POONAWAL IN Equity,POONAWALLA FINCO,382443984479.75,382443984479.75,470.65,,49.72,41897600000.00
IREDA IN Equity,INDIAN RENEWABLE,374751451151.20,374751451151.20,133.40,21.11,-38.03,67433200000.00
ENDU IN Equity,ENDURANCE TECHNO,374022512832.00,374022512832.00,2659.00,44.72,24.17,115608100000.00
